"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Legal Name","Record Type"
"Adak Pilot","","Carolyn J","Smith-Kizer","216 Umak Cir","Adak","AK","99546","I","Female","Manager","","73-846-3404","1 to 4","","Not Available","869919","Pilots","869919","Pilots","","Unverified"
"Adak Rentals","","Lance M","Henderson","173 Threearm Bay","Adak","AK","99546","U","Male","Manager","","74-155-4770","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Adak Rentals & Charter Svc","","Lance","Henderson","173 B Threearm Bay","Adak","AK","99546","U","Male","Manager","","83-525-9575","","","Not Available","799913","Boats-Rental & Charter","799913","Boats-Rental & Charter","","Unverified"
"Adak School","","","","PO Box 2083","Adak","AK","99546","I","","","","74-240-5155","10 to 19","","Not Available","821103","Schools","821103","Schools","","Unverified"
"Adak Seafood LLC","","","","","Adak","AK","99546","B","","","","40-185-5744","1 to 4","$500,000-1 Million","(907) 592-2439","542101","Seafood-Retail","542101","Seafood-Retail","ADAK SEAFOOD LLC","Unverified"
"Adak Soul LLC","","","","","Adak","AK","99546","U","","","","81-359-4205","","","(907) 592-7685","999977","Nonclassified Establishments","999977","Nonclassified Establishments","ADAK SOUL LLC","Unverified"
"Adak Telephone Telex Phone","","","","","Adak","AK","99546","B","","","","71-664-1766","1 to 4","$1-2.5 Million","(907) 592-2580","481304","Telephone Companies","481304","Telephone Companies","","Unverified"
"Adak Telephone Utility","","","","","Adak","AK","99546","B","","","","73-546-2406","1 to 4","$500,000-1 Million","(907) 592-0138","162308","Utility Contractors","162308","Utility Contractors","","Unverified"
"Adak Volunteer Fire Dept","","","","100 Mechanical St # B122","Adak","AK","99546","I","","","9075924262","75-923-3532","20 to 49","","(907) 592-4500","922404","Fire Departments","922404","Fire Departments","","Verified"
"Adak Volunteer Fire Dept","","","","T-2776 Terminal Rd","Adak","AK","99546","I","","","9075924262","71-940-6141","1 to 4","","(907) 592-4145","922404","Fire Departments","922404","Fire Departments","","Unverified"
"Adrian Melovidov","","","","128b Sandy Cv","Adak","AK","99546","U","","","","70-241-1464","","","(907) 592-0189","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Ae Hotel","","","","","Adak","AK","99546","C+","","","","73-546-6512","5 to 9","$500,000-1 Million","(907) 592-2330","701101","Hotels & Motels","701101","Hotels & Motels","","Unverified"
"Aec1 Unit 149a","","","","","Adak","AK","99546","U","","","","71-485-4825","","","(907) 592-0110","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Ael Hotel 147a","","","","","Adak","AK","99546","C+","","","","74-263-8268","5 to 9","$1-2.5 Million","(907) 592-0671","701101","Hotels & Motels","701101","Hotels & Motels","","Unverified"
"Aladdax Cove","","","","247a Amchitka Rd","Adak","AK","99546","U","","","","72-061-3580","","","(907) 717-6982","999977","Nonclassified Establishments","999977","Nonclassified Establishments","ALADAAX COVE LLC","Unverified"
"Alaska Airlines Adk Terminal","","","","100 Terminal Rd","Adak","AK","99546","A","","","","82-288-5650","20 to 49","$1-2.5 Million","(800) 252-7522","458118","Airport Services","458118","Airport Services","","Verified"
"Alaska Airlines Employee","","","","","Adak","AK","99546","C+","","","","71-660-1032","1 to 4","$1-2.5 Million","(907) 592-0797","451201","Airline Companies","451201","Airline Companies","","Unverified"
"Alaska Airlines Engie Insight","","","","","Adak","AK","99546","C+","","","","73-492-6771","5 to 9","$2.5-5 Million","(907) 592-2519","451201","Airline Companies","451201","Airline Companies","","Unverified"
"Alaska Airlines Inc","ALASKA AIR GROUP INC","Joseph","Sprague","100 Terminal Dr","Adak","AK","99546","A","Male","President","","71-664-1790","10 to 19","$5-10 Million","(907) 592-3121","451201","Airline Companies","451201","Airline Companies","ALASKA AIRLINES INC","Unverified"
"Alaska Seafood Overnight LLC","","","","119 Sandy Cv","Adak","AK","99546","B+","","","","43-806-5611","10 to 19","$10-20 Million","Not Available","514601","Seafood-Wholesale","514601","Seafood-Wholesale","ALASKA SEAFOOD OVERNIGHT LLC","Unverified"
"Alaskan Waterfowl Outfitters","","Maurice","Neale","252a Amchitka Cir","Adak","AK","99546","U","Male","Manager","","75-842-6098","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","ALASKAN WATERFOWL OUTFITTERS LLC","Unverified"
"Aleut Corp","","","","","Adak","AK","99546","U","","","","70-576-7037","","","(907) 592-0659","999977","Nonclassified Establishments","999977","Nonclassified Establishments","ALEUT CORP","Unverified"
"Aleut Enterprise LLC","","","","PO Box 2021","Adak","AK","99546","U","","","","74-008-3922","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","ALEUT ENTERPRISE LLC","Unverified"
"Aleut Enterprises Hotel","","","","","Adak","AK","99546","C+","","","","70-869-0007","5 to 9","$500,000-1 Million","(907) 592-0720","701101","Hotels & Motels","701101","Hotels & Motels","","Unverified"
"Aleutian Adventure Tours LLC","","William","Tillion","56b Kresta Point Dr","Adak","AK","99546","C","Male","Other","","40-561-2309","1 to 4","Less Than $500,000","(907) 592-3812","478977","Transportation","478977","Transportation","ALEUTIAN ADVENTURE TOURS LLC","Unverified"
"Aleutian Island Svc LLC","","","","100 Airport Way","Adak","AK","99546","C","","","","71-553-8381","1 to 4","Less Than $500,000","Not Available","478977","Transportation","478977","Transportation","ALEUTIAN ISLAND SVC LLC","Unverified"
"Aleutian Jules LLC","","Julie","Motley","100 Mechanical St","Adak","AK","99546","U","Female","Manager","","73-552-7429","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","ALEUTIAN JULES LLC","Unverified"
"Aleutian Outfitters","","Cory","Herendeen","252 Amchitka Cir # A-B","Adak","AK","99546","C+","Male","Owner","","43-302-0056","5 to 9","$500,000-1 Million","Not Available","701101","Hotels & Motels","701101","Hotels & Motels","","Unverified"
"Aleutian Region School Dist","","","","100 Mechanical St","Adak","AK","99546","B+","","","","75-898-0319","20 to 49","","Not Available","821120","School Districts","821120","School Districts","","Unverified"
"Aleutian Sports Bar & Grill","","","","","Adak","AK","99546","B","","","","71-664-1717","1 to 4","Less Than $500,000","(907) 592-2222","581301","Bars","581301","Bars","","Unverified"
"Aleutian Sports Bar & Grill","","","","Main St","Adak","AK","99546","B","","","","76-539-3957","1 to 4","Less Than $500,000","(907) 458-7084","581301","Bars","581301","Bars","","Unverified"
"APTIM","VERITAS CAPITAL INC","","","","Adak","AK","99546","B+","","","","73-517-5818","1 to 4","$1-2.5 Million","(907) 592-2377","154227","Maintenance Contractors","154227","Maintenance Contractors","","Unverified"
"Are Public Works","","","","","Adak","AK","99546","B","","","","40-151-2872","1 to 4","$1-2.5 Million","(907) 592-0111","161104","Parking Area/Lots Maintenance & Marking","161104","Parking Area/Lots Maintenance & Marking","","Unverified"
"Are Unit 150a","","","","","Adak","AK","99546","U","","","","40-167-0371","","","(907) 592-2262","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"ATM","","","","100 Mechanical St","Adak","AK","99546","U","","","","70-830-5445","","","Not Available","602103","Atm-Automated Teller Machines","602103","Atm-Automated Teller Machines","","Verified"
"Battelle Memorial Inst Inc","","","","143b Sandy Cove Rd","Adak","AK","99546","I","","","","72-464-4890","1 to 4","","Not Available","861102","Associations","861102","Associations","BATTELLE MEMORIAL INST INC","Unverified"
"Bay 5 Restaurant","","Richard","Koso","42078 Public Works Rd","Adak","AK","99546","C+","Male","Owner","","43-271-0145","1 to 4","Less Than $500,000","Not Available","581208","Restaurants","581208","Restaurants","","Unverified"
"Bayside","","Ricky","Kosos","PO Box 1990","Adak","AK","99546","C","Male","Owner","","42-660-5089","1 to 4","Less Than $500,000","(907) 592-8220","581208","Restaurants","581208","Restaurants","","Unverified"
"Begin The Hunt","","Eugenia","Ward","103 Sandy Cv # C","Adak","AK","99546","C+","Female","Owner","","43-257-4807","1 to 4","$500,000-1 Million","Not Available","734902","Janitor Service","734902","Janitor Service","","Unverified"
"Bernardos Liquor","","","","","Adak","AK","99546","B","","","","73-575-0042","1 to 4","$500,000-1 Million","(907) 592-8240","592102","Liquors-Retail","592102","Liquors-Retail","","Unverified"
"Blue Bird Svc","","Sharon E","Cleary","103 Camel Cv # A","Adak","AK","99546","C","Female","Owner","","43-406-1770","1 to 4","Less Than $500,000","Not Available","581212","Caterers","581212","Caterers","","Unverified"
"Boeing Adak Site Rep","","","","","Adak","AK","99546","C","","","","71-664-1741","1 to 4","$500,000-1 Million","(907) 592-2400","372101","Aircraft-Manufacturers","372101","Aircraft-Manufacturers","","Unverified"
"Boomstick Outfitters","","Darrell E","Tannehill","227a Tanaga Cir","Adak","AK","99546","C","Male","Owner","","43-540-2502","1 to 4","$500,000-1 Million","Not Available","594151","Outfitters","594151","Outfitters","","Unverified"
"Brechan Construction","","","","","Adak","AK","99546","C","","","","72-139-3567","1 to 4","$500,000-1 Million","(907) 592-2346","152144","Construction Companies","152144","Construction Companies","","Unverified"
"Bristol Environmental RMDTN","","","","","Adak","AK","99546","B","","","","77-818-9925","1 to 4","","(907) 592-7978","873111","Environmental & Ecological Services","873111","Environmental & Ecological Services","","Unverified"
"Bulldog Office Products Inc","","","","126 Sandy Cv","Adak","AK","99546","U","","","","81-614-3750","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","BULLDOG OFFICE PRODUCTS INC","Unverified"
"C B & I Federal Svc LLC","","","","","Adak","AK","99546","C+","","","","71-955-7093","1 to 4","Less Than $500,000","(907) 592-2377","899999","Services NEC","899999","Services NEC","C B & I FEDERAL SVC LLC","Unverified"
"C N H Svc","","Christopher","Lagua","114a Sandy Cv","Adak","AK","99546","C","Male","Owner","","43-617-1089","1 to 4","$500,000-1 Million","Not Available","152115","Handyman Services","152115","Handyman Services","","Unverified"
"Chenega Security Protection","","","","","Adak","AK","99546","C+","","","","40-235-0014","1 to 4","$1-2.5 Million","(907) 592-0622","506304","Security Control Equip & Systems-Whls","506304","Security Control Equip & Systems-Whls","","Unverified"
"City Of Adak","","Layton","Lockett","100 Mechanical St","Adak","AK","99546","I","Male","Manager","","40-488-6956","5 to 9","","(907) 592-4500","911104","City Government-Executive Offices","911104","City Government-Executive Offices","","Verified"
"City Of Adak","","Debrah","Sharrah","PO Box 2011","Adak","AK","99546","I","Female","Operations","","71-190-4802","1 to 4","","Not Available","912104","Government Offices-City/Village & Twp","912104","Government Offices-City/Village & Twp","","Unverified"
"Cold Rock Cafe","","","","","Adak","AK","99546","C+","","","","71-485-4890","1 to 4","Less Than $500,000","(907) 592-0632","581208","Restaurants","581208","Restaurants","","Unverified"
"Consolidated Services","","Jack","Stewart","184 Alpha Gannat Dr","Adak","AK","99546","C","Male","Owner","","40-561-0665","1 to 4","$500,000-1 Million","(907) 592-3165","735933","Leasing Service","735933","Leasing Service","","Unverified"
"Crab & Coffee","","Steven","Minor","230a Kuluk","Adak","AK","99546","B","Male","Manager","","81-651-8812","1 to 4","","Not Available","581228","Coffee Shops","581228","Coffee Shops","","Unverified"
"Crane Inspection Svc LLC","","","","PO Box 1998","Adak","AK","99546","C+","","","","40-982-7915","1 to 4","Less Than $500,000","(907) 642-9765","738996","Inspection Service","738996","Inspection Service","CRANE INSPECTION SVC LLC","Unverified"
"D G Contracting & Svc","","Dillon","Godby","102 Camel Cove Road","Adak","AK","99546","C+","Male","Manager","","81-455-3030","1 to 4","","Not Available","179977","Contractors","179977","Contractors","","Unverified"
"Douglass Burkett","","","","156 Waterloo Ave # 53","Adak","AK","99546","U","","","","72-156-7173","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Douglass Burkett","","","","2030454 Thlanene","Adak","AK","99546","U","","","","70-074-8400","","","(786) 568-6605","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Eastern Aleutian Tribes Inc","","","","","Adak","AK","99546","B","","","","42-523-2487","1 to 4","$500,000-1 Million","(907) 592-2353","809905","Health & Welfare Agencies","809905","Health & Welfare Agencies","EASTERN ALEUTIAN TRIBES INC","Unverified"
"El Taco","","Rick","Coso","","Adak","AK","99546","C","Male","Owner","","42-038-4004","1 to 4","Less Than $500,000","(907) 592-8220","581208","Restaurants","581208","Restaurants","","Unverified"
"Ella's Handmade Threads","","Lisa","Lins","218-B Umack Circle P O B # 204","Adak","AK","99546","C+","Female","Manager","","75-934-5750","1 to 4","Less Than $500,000","Not Available","565101","Clothing-Retail","565101","Clothing-Retail","","Unverified"
"End Of The Chain Boat Supply","","Jack S","Stewart","250 B St","Adak","AK","99546","C+","Male","Owner","","43-144-4731","1 to 4","$1-2.5 Million","Not Available","555103","Boat Equipment & Supplies","555103","Boat Equipment & Supplies","","Unverified"
"End Of The Chain Mercantile","","","","250 Amchitka Cir","Adak","AK","99546","C","","","","43-304-4202","1 to 4","$500,000-1 Million","Not Available","539901","General Merchandise-Retail","539901","General Merchandise-Retail","END OF THE CHAIN MERCANTILE LLC","Unverified"
"Fishing Vessel Katie Jean LLC","","Clesson","Zaima","168 A Fishermans Cv","Adak","AK","99546","U","Male","Owner","","43-727-4401","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","FISHING VESSEL KATIE JEAN LLC","Unverified"
"Frosty Fuels LLC","","George","Pollock","","Adak","AK","99546","B+","Male","CEO","","42-667-1444","10 to 19","","(907) 532-2467","517206","Oils-Fuel (Whls)","517206","Oils-Fuel (Whls)","FROSTY FUELS LLC","Verified"
"Golden Harvest AK Seafood LLC","","","","","Adak","AK","99546","B","","","","72-534-6904","1 to 4","$500,000-1 Million","(907) 592-5952","542101","Seafood-Retail","542101","Seafood-Retail","GOLDEN HARVEST AK SEAFOOD LLC","Unverified"
"Golden Harvest AK Seafood LLC","","Jason","Ogilvie","100 Mechanical St","Adak","AK","99546","C+","Male","Manager","","72-489-0121","1 to 4","$500,000-1 Million","Not Available","542101","Seafood-Retail","542101","Seafood-Retail","GOLDEN HARVEST AK SEAFOOD LLC","Unverified"
"Great Sitkin Svc","","Alain M","Beauparlant","121 Beverly Cv","Adak","AK","99546","C+","Male","Owner","","71-503-2605","1 to 4","Less Than $500,000","Not Available","874899","Consultants-Business NEC","874899","Consultants-Business NEC","GREAT SITKIN SVC LLC","Unverified"
"Hart Sales Inc","","","","","Adak","AK","99546","C","","","","42-732-2762","1 to 4","$500,000-1 Million","(907) 592-0647","539901","General Merchandise-Retail","539901","General Merchandise-Retail","HART SALES INC","Unverified"
"Homer Kizer Ministries","","","","216 Umak Cir","Adak","AK","99546","I","","","","72-229-6184","1 to 4","","(907) 592-2380","866110","Religious Organizations","866110","Religious Organizations","","Verified"
"Homeward Bound Charter Svc","","Albert","Giddings","167 Fishermans Cv # D","Adak","AK","99546","C+","Male","Owner","","40-561-1968","1 to 4","Less Than $500,000","(907) 592-2340","799913","Boats-Rental & Charter","799913","Boats-Rental & Charter","","Unverified"
"Iron Cross Motors","","Carvin","Irons","250 Amchitka Cir","Adak","AK","99546","B","","Manager","","74-425-1743","5 to 9","$2.5-5 Million","Not Available","551102","Automobile Dealers-New Cars","551102","Automobile Dealers-New Cars","","Unverified"
"J & S Adak LLC","","James","Northcott","58 Kresta Court Dr # B","Adak","AK","99546","C+","Male","Other","","40-562-0694","1 to 4","$500,000-1 Million","(907) 592-3812","173101","Electric Contractors","173101","Electric Contractors","J & S ADAK LLC","Unverified"
"Jack Stewart","","","","310 Ecommanche","Adak","AK","99546","U","","","","70-074-9269","","","(907) 592-2157","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Key Of David","","Carolyn","Smith-Kizer","PO Box 1917","Adak","AK","99546","I","Female","Owner","","74-015-3147","1 to 4","","(907) 592-2380","866107","Churches","866107","Churches","","Unverified"
"LVS Adak LLC","","","","42446 Kagalaska Dr","Adak","AK","99546","U","","","","78-874-8529","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","LVS ADAK LLC","Unverified"
"MO Doody Electrician","","Maynard","Doody","139 Little Thumb Street C","Adak","AK","99546","C+","Male","Owner","","40-561-3711","1 to 4","$500,000-1 Million","(907) 592-2430","173101","Electric Contractors","173101","Electric Contractors","","Unverified"
"Modesty Handmade","","","","100 Mechanical St # 2042","Adak","AK","99546","U","","","","74-206-1975","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"MX3 LLC","","","","","Adak","AK","99546","U","","","","42-168-6293","","","(907) 592-0174","999977","Nonclassified Establishments","999977","Nonclassified Establishments","MX3 LLC","Unverified"
"Netwolves","","","","","Adak","AK","99546","U","","","","73-227-2451","","","(907) 592-3200","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Northwestern Demolition","","","","","Adak","AK","99546","B","","","","77-818-9926","1 to 4","Less Than $500,000","(907) 592-8473","179502","Demolition Contractors","179502","Demolition Contractors","","Unverified"
"Onsite Handyman","","Clesson A","Zaima","173 Sandy Cv # C","Adak","AK","99546","C+","Male","Owner","","43-274-5377","1 to 4","$500,000-1 Million","Not Available","152115","Handyman Services","152115","Handyman Services","","Unverified"
"Pacific Environmental Corp","","","","","Adak","AK","99546","C+","","","","40-280-8287","1 to 4","","(907) 577-2112","873111","Environmental & Ecological Services","873111","Environmental & Ecological Services","PACIFIC ENVIRONMENTAL CORP","Unverified"
"Planet Adak","","Mary M","Craig","121d Berverly Cove","Adak","AK","99546","U","Female","Manager","","83-124-8453","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Premier Harvest Adak LLC","","Dustin","Anderson","100 Seawall Rd","Adak","AK","99546","C+","Male","Manager","","43-810-7127","1 to 4","$2.5-5 Million","Not Available","509223","Wholesalers","509223","Wholesalers","PREMIER HARVEST ADAK LLC","Unverified"
"R & M Rentals LLC","","Mary A","Nelson","233 Tanaga Cir # A","Adak","AK","99546","C","Female","Owner","","43-089-5155","1 to 4","$500,000-1 Million","Not Available","735910","Rental Service-Stores & Yards","735910","Rental Service-Stores & Yards","R & M RENTALS LLC","Unverified"
"Ray Nelson Svc","","Ray","Nelson","233 A Tanaga Cir","Adak","AK","99546","C+","Male","Owner","","43-530-4315","1 to 4","$1-2.5 Million","Not Available","508427","Machinery-New (Whls)","508427","Machinery-New (Whls)","","Unverified"
"Refik Topic","","","","PO Box 1812","Adak","AK","99546","C+","","","","42-770-0936","1 to 4","$1-2.5 Million","(907) 592-2361","565101","Clothing-Retail","565101","Clothing-Retail","","Unverified"
"Rick's Charter & Leasing Svc","","Richard","Koso","Main St","Adak","AK","99546","C+","Male","Manager","","74-166-6369","1 to 4","Less Than $500,000","Not Available","799913","Boats-Rental & Charter","799913","Boats-Rental & Charter","","Unverified"
"Rick's Liquor","","Bernardo","Diaz","42078 Main St","Adak","AK","99546","C+","Male","Owner","","71-485-5178","1 to 4","Less Than $500,000","(907) 592-8240","581208","Restaurants","581208","Restaurants","","Unverified"
"Rick's Liquor","","Richard","Koso","Bldg","Adak","AK","99546","B","Male","Manager","","78-158-8315","1 to 4","$500,000-1 Million","Not Available","592102","Liquors-Retail","592102","Liquors-Retail","","Unverified"
"Rmi Medical Group V PC","","Richard","Misiaszek","Rmi Shemya Clinic","Adak","AK","99546","B+","Male","Other","","76-465-2486","10 to 19","$2.5-5 Million","Not Available","809911","Medical Groups","809911","Medical Groups","RMI MEDICAL GROUP V PC","Unverified"
"Rock Services","","Jonathan D","Ferrall","219 Umak Cir","Adak","AK","99546","C","Male","Owner","","43-620-7527","1 to 4","$500,000-1 Million","Not Available","152115","Handyman Services","152115","Handyman Services","","Unverified"
"Roughing It On The Rock","","Carolyn","Smith-Kizer","216 Umak Cir","Adak","AK","99546","U","Female","Manager","","73-823-9416","1 to 4","Less Than $500,000","Not Available","701117","Accommodations","701117","Accommodations","","Unverified"
"S O","","Elaine D","Smiloff","42311 Finger Bay Rd","Adak","AK","99546","C+","Female","Owner","","43-617-7071","1 to 4","Less Than $500,000","Not Available","874829","Facilities & Space Planning Consultants","874829","Facilities & Space Planning Consultants","","Unverified"
"S O A A Svc","","Vuna","Penitani","167d Sandy Cv","Adak","AK","99546","C","","Owner","","43-616-9991","1 to 4","$500,000-1 Million","Not Available","152115","Handyman Services","152115","Handyman Services","","Unverified"
"Sandy Cove Inn LLC","","Debra","Sharrah","168 Fisherman S Cove D","Adak","AK","99546","C+","Female","Manager","","74-320-5371","5 to 9","$1-2.5 Million","Not Available","701101","Hotels & Motels","701101","Hotels & Motels","SANDY COVE INN LLC","Unverified"
"Sandy Cove Inn LLC","","","","168 Fishermans Cv","Adak","AK","99546","C+","","","","74-283-8787","5 to 9","$500,000-1 Million","Not Available","701101","Hotels & Motels","701101","Hotels & Motels","SANDY COVE INN LLC","Unverified"
"Schlehofer Law Offices","","","","","Adak","AK","99546","B+","","","","73-780-9893","1 to 4","$500,000-1 Million","(907) 577-7556","811103","Attorneys","811103","Attorneys","","Unverified"
"Sealaska","","","","","Adak","AK","99546","U","","","","72-171-5706","","","(907) 592-0164","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Seapac","","","","PO Box 2084","Adak","AK","99546","U","","","","82-436-3297","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Selah Farms","","Michael E","Sharrah","168 A Fishermans Cv","Adak","AK","99546","C+","Male","Owner","","43-628-1498","1 to 4","$500,000-1 Million","Not Available","542107","Meat-Retail","542107","Meat-Retail","","Unverified"
